Album,Artist,Genre,Label,Producer,Release Date,Meta Score
Enter the Kingdom,Frontier Ruckus,"['folk', 'indie pop', 'folk rock']","['loose music', 'loose', 'sitcom universe']","['frontier ruckus', 'ken coomer']",Feb 17 2017,68.0
Future,Future,"['hip hop', 'trap', 'rap']","['epic', 'a1', 'freebandz']","['dj spinz', 'the beat bully', 'dy', 'fuse', '!llmind', 'metro boomin', 'mp808', 'tre pounds', 'jake one', 'southside', 'tarentino', 'frank dukes', 'chef tate', 'dj khaled', 'future', 'zaytoven', 'dj esco']",Feb 17 2017,67.0
The  Chief,Jidenna,"['hip hop', 'pop']","['epic', 'wondaland', 'sony']","['f a l l e n', 'nate ""rocket"" wonder', 'nick seeley', 'laco', 'mikey mike', 'jon jon traxx', 'jidenna', 'ellis martin', 'volta', 'bham', 'mark williams', 'jupiter', 'sonny digital', 'frank dukes', 'roman gianarthur', 'nana kwabena', 'best kept secret', 'andrew horowitz', 'hit boy']",Feb 17 2017,73.0
Windy City,Alison Krauss,['country'],['capitol'],['buddy cannon'],Feb 17 2017,69.0
Plata o Plomo,Fat Joe and Remy Ma,"['hip hop', 'rap']","['mr. 305 inc.', 'empire', 'terror squad']","['gaetano', 'dwayne ""ill wayno"" shippy', '808 ray', 'eric kovacs', 'fat joe', 'vindata', 'illa', 'cool & dre', 'street runner', 'tarik azzouz', 'edsclusive']",Feb 17 2017,66.0
Reassemblage,Visible Cloaks,"['vaporwave', 'ambient', 'neoclassical new age', 'electronic']",['rvng intl.'],"['spencer doran', 'ryan carlile']",Feb 17 2017,80.0
I'm Only Dreaming,Eisley,"['pop rock', 'indie pop']",['equal vision'],"['eisley', 'will yip']",Feb 17 2017,72.0
Human,Rag 'n' Bone Man,"['blues', 'pop rock', 'soul']","['columbia', 'sony music']","['two inch punch', 'jamie scott', 'cadenza', 'jean michel braque', 'jonny coffer', 'johnny mcdaid', 'mark crew']",Feb 10 2017,64.0
The Dusk in Us,Converge,"['post hardcore', 'pop rock', 'hardcore punk', 'metalcore', 'sludge metal']","['deathwish', 'epitaph']",['kurt ballou'],Nov 3 2017,89.0
Memories Are Now,Jesca Hoop,['pop rock'],['sub pop'],,Feb 10 2017,83.0
Bobby Fuller Died for Your Sins,Chuck Prophet,['pop rock'],['yep roc'],['paul q. kolderie'],Feb 10 2017,80.0
The Temple of I & I,Thievery Corporation,['electronic'],"['esl music', 'eighteenth street']",,Feb 10 2017,65.0
Drogas Light,Lupe Fiasco,"['hip hop', 'rap']","['thirty tigers', '1st & 15th']","['simon sayz', 'purps', '"" dmile""', 'ty dolla $ign', 'bsides', 'soundtrakk', 'cyfyre', 'streetrunner', 'bham', 's x', 'jacob torrey', 'tarik azzouz', 'floss & fame', 'ishi']",Feb 10 2017,56.0
The  Thrill of It All,Sam Smith,['pop rock'],['capitol'],"['steve fitzmaurice', 'timbaland', 'emile haynie', 'stargate', 'brendan grieve', 'jimmy napes', 'malay', 'tyler johnson']",Nov 3 2017,72.0
