tuple_id,genre
191,punk rock
192,hard rock
192,progressive metal
192,pop rock
192,alternative metal
192,heavy metal
193,pop rock
193,rock
193,country
194,punk
194,punk rock
195,hip hop
195,rap
196,pop rock
196,post hardcore
196,experimental rock
197,pop rock
197,extreme metal
197,progressive metal
197,avant garde metal
198,pop rock
198,pop
199,techno
199,electronic
199,electronic music
200,electronica
200,alternative indie rock
200,avant garde
200,art pop
201,hip hop
201,r&b
202,pop rock
202,alternative rock
202,indie rock
203,pop rock
203,indie folk
203,folktronica
204,pop rock
204,alternative rock
204,country rock
204,alternative country
205,pop rock
205,alternative
205,pop
206,rock
206,na
207,electronic dance music
207,electronic
208,experimental
208,pop rock
208,electropop
209,punk
209,hardcore punk
209,punk revival
210,progressive rock
210,heavy metal
210,progressive metal
211,pop rock
211,alternative r&b
212,pop punk
212,alternative rock
212,emo pop
213,folk
213,pop rock
213,rock
213,country
214,neo soul
214,r&b
215,pop rock
215,crossover thrash
216,experimental hip hop
216,rap
217,hip hop
217,rap
218,pop rock
218,indie
218,alternative
218,indie folk
219,southern rock
219,hardcore punk
219,metalcore
219,metal
220,pop rock
220,indie rock
221,pop rock
221,punk rock
222,pop rock
222,indie rock
223,electronic
223,art pop
224,pop rock
224,rock
225,glam rock
225,art rock
225,contemporary pop rock
226,pop rock
226,folk jazz
227,pop rock
228,pop rock
228,hard rock
229,pop rock
230,pop rock
230,punk rock
231,electronic
232,pop rock
232,electronic
233,alternative hip hop
233,rap
234,screamo
234,melodic hardcore
234,pop rock
234,emo
234,post hardcore
235,hip hop
235,trap
235,r&b
236,rock
236,alternative rock
236,emo
237,hip hop
237,rap
238,country
239,alternative hip hop
239,electronic
239,rave
240,pop rock
241,experimental hip hop
241,rap
242,hip hop
242,electronic
243,pop rock
243,indie rock
244,pop rock
244,alternative rock
245,pop rock
246,blues
246,pop rock
246,acoustic
247,pop rock
247,pop
248,pop rock
248,indie pop
249,pop rock
249,indie rock
250,ambient
250,pop rock
250,alternative rock
250,electronica
250,avant garde
251,symphonic metal
251,pop rock
251,progressive rock
251,progressive metal
252,pop rock
252,alternative rock
252,indie rock
253,pop rock
253,indie pop
253,indie rock
253,indie folk
254,hip hop
254,rap
255,pop rock
255,psychedelic rock
255,garage rock
255,folk rock
255,dream pop
256,electronic
257,electronic
258,pop rock
258,folk pop
259,folk
259,alternative r&b
260,pop punk
260,pop rock
260,metalcore
261,pop rock
261,psychedelic rock
262,pop rock
262,rock
263,hip hop
263,rap
264,pop rock
264,dance pop
265,pop rock
265,indie pop
265,alternative r&b
265,art pop
266,pop rock
267,new wave
267,pop rock
267,post punk
267,hip hop
267,experimental hip hop
268,na
268,r&b
269,alternative hip hop
269,dream pop
269,na
269,alternative r&b
270,pop rock
271,folk
271,pop rock
271,indie
272,electropunk
272,electronic
272,witch house
273,pop rock
273,indie rock
274,pop rock
274,alternative rock
274,progressive rock
275,pop rock
275,alternative rock
275,indie rock
276,pop rock
276,alternative rock
276,indie rock
277,synth pop
277,pop rock
277,art rock
277,art pop
278,post metal
278,pop rock
278,instrumental rock
278,post rock
279,pop rock
279,indie pop
279,indie rock
280,pop rock
281,pop rock
281,soul
281,country pop
282,trap
282,electronic
282,pop
282,hip hop
282,edm
283,grime
283,electronic
283,uk hip hop
284,electronic
284,r&b
285,pop punk
285,pop rock
285,punk rock
286,pop punk
286,pop rock
286,alternative rock
286,post hardcore
286,punk rock
287,hip hop
287,rap
288,hip hop
288,trap
288,r&b
288,rap
289,pop rock
289,progressive metal
289,djent
290,hip hop
290,trap
290,rap
291,drill
291,trap
291,rap
292,soul
292,acoustic
292,r&b
293,west coast hip hop
293,rap
294,country
295,pop punk
295,pop rock
295,alternative rock
296,plunderphonics
296,disco
296,electronic
296,neo psychedelia
296,hip hop
297,pop rock
297,electropop
298,electropop
298,alternative indie rock
298,art pop
299,pop rock
299,alternative rock
299,electronic rock
300,hip hop
300,west coast hip hop
300,gangsta rap
300,rap
301,folk rock
301,pop rock
301,hard rock
302,rock
302,pop rock
302,baroque pop
303,pop punk
303,pop rock
303,alternative rock
304,indie electronic
304,electronic
305,neo soul
305,r&b
306,americana
306,country
307,pop rock
307,funk
307,baroque pop
307,r&b
307,jazz
308,pop
309,pop rock
309,rock
310,hip hop
310,electronic
310,instrumental hip hop
311,pop rock
311,indie rock
312,deathcore
312,pop rock
312,groove metal
313,synth pop
313,electropop
313,dance
313,pop
314,pop rock
314,indie rock
315,pop rock
315,punk
315,pop
315,funk
316,pop rock
316,rock
316,punk rock
317,electronic
318,pop rock
318,soul
318,r&b
319,pop rock
319,alternative rock
319,funk rock
320,pop rock
320,indie rock
321,pop rock
321,experimental music
322,pop rock
323,pop rock
323,indie rock
324,pop rock
324,progressive metal
324,groove metal
324,technical death metal
325,pop rock
325,rock
326,pop rock
326,alternative rock
326,electronic rock
326,industrial rock
327,blues
327,r&b
327,jazz
328,pop rock
328,rock
329,pop rock
329,indie pop
329,indie rock
330,neo soul
330,pop rock
330,indie pop
331,southern rock
331,pop rock
331,indie rock
332,country
333,pop rock
333,r&b
333,pop
334,folk
334,americana
335,pop rock
335,indie electronic
335,indie pop
336,pop rock
336,indie rock
337,pop rock
337,blues rock
337,hard rock
338,synth pop
338,pop rock
339,pop rock
339,indie rock
340,folk
340,pop rock
340,acoustic rock
341,pop rock
341,alternative rock
342,folk rock
342,pop rock
343,pop rock
343,art rock
343,psychedelic rock
343,experimental rock
344,pop rock
344,experimental pop
344,dance rock
345,pop rock
345,indie pop
345,synth pop
345,indie electronic
345,alternative dance
346,pop rock
346,hardcore punk
346,metalcore
347,electronic
348,techno
348,new wave
348,glam rock
348,pop rock
348,electropop
348,pop
349,pop rock
349,alternative rock
350,metalcore
350,metal
351,pop rock
351,alternative rock
351,indie rock
352,pop rock
353,electronic
354,pop rock
354,rock
354,power pop
355,pop rock
356,pop rock
356,alternative rock
356,indie rock
357,pop rock
357,punk rock
358,pop rock
358,trip hop
359,pop rock
359,post hardcore
360,jazz
361,pop punk
361,pop rock
362,pop rock
363,edm
363,tropical house
363,pop
364,electronic
364,pop
365,blues
365,pop rock
365,indie pop
365,soul
365,jazz
366,pop rock
366,alternative rock
366,post hardcore
367,southern rock
367,pop rock
367,country rock
368,electronic
369,pop rock
370,blues
370,pop rock
370,blues rock
370,folk
371,traditional pop
371,pop rock
372,pop rock
372,indie rock
373,alternative rock
373,na
374,vocal
374,r&b
374,pop
375,synth pop
375,dream pop
375,indie pop
